page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    1660  2346  icc     3   8  jpx    no      4745  0   200   200  424K 3.7%
   3     1 image     466   409  icc     3   8  jpx    no        17  0   200   200 30.7K 5.5%
   3     2 image     466   409  icc     3   8  jpx    no        19  0   200   200 35.7K 6.4%
   3     3 image     466   409  icc     3   8  jpx    no        21  0   200   200 19.2K 3.4%
   3     4 image     466   410  icc     3   8  jpx    no        23  0   200   200 33.1K 5.9%
   3     5 image     466   410  icc     3   8  jpx    no        25  0   200   200 27.4K 4.9%
   3     6 image     466   409  icc     3   8  jpx    no        27  0   200   200 33.7K 6.0%
   3     7 image     466   410  icc     3   8  jpx    no        29  0   200   200 43.2K 7.7%
   3     8 image     466   409  icc     3   8  jpx    no        31  0   200   200 31.8K 5.7%
   3     9 image     466   409  icc     3   8  jpx    no        33  0   200   200 32.9K 5.9%
   4    10 image    1661  2072  icc     3   8  jpx    no        38  0   200   200  551K 5.5%
   5    11 image     463  2072  icc     3   8  jpx    no        43  0   200   200  207K 7.4%
   6    12 image     160   156  icc     3   8  jpx    no        48  0   201   200 6776B 9.0%
   6    13 image      67    42  icc     3   8  jpx    no        52  0   201   200 8440B 100%
   6    14 smask      67    42  gray    1   8  jpx    no        52  0   201   200 1100B  39%
   6    15 image     154   160  icc     3   8  jpx    no        58  0   200   201 6930B 9.4%
   6    16 image      71    46  icc     3   8  jpx    no        62  0   200   203 8511B  87%
   6    17 smask      71    46  gray    1   8  jpx    no        62  0   200   203 1112B  34%
   6    18 image     152   160  icc     3   8  jpx    no        66  0   201   201 6921B 9.5%
   6    19 smask     152   160  gray    1   8  jpx    no        66  0   201   201 3353B  14%
   6    20 image     175   170  icc     3   8  jpx    no        68  0   200   201 6899B 7.7%
   6    21 image      86    27  icc     3   8  jpx    no        72  0   200   206 7417B 106%
   6    22 smask      86    27  gray    1   8  jpx    no        72  0   200   206  979B  42%
   6    23 image     108    31  icc     3   8  jpx    no        76  0   201   201 8214B  82%
   6    24 smask     108    31  gray    1   8  jpx    no        76  0   201   201 1193B  36%
   6    25 image     229   148  icc     3   8  jpx    no        80  0   201   200 27.8K  28%
   6    26 smask     229   148  gray    1   8  jpx    no        80  0   201   200 6010B  18%
   6    27 image     220   179  icc     3   8  jpx    no        82  0   200   200 7275B 6.2%
   6    28 image     205   153  icc     3   8  jpx    no        54  0   201   201 7194B 7.6%
   6    29 image     212   171  icc     3   8  jpx    no        56  0   200   200 7629B 7.0%
   7    30 image     237   177  icc     3   8  jpx    no        87  0   201   200 7177B 5.7%
   7    31 image     179   177  icc     3   8  jpx    no        89  0   201   201 7415B 7.8%
   7    32 image     220    99  icc     3   8  jpx    no        91  0   200   200 6880B  11%
   7    33 image     195   155  icc     3   8  jpx    no        93  0   200   201 6957B 7.7%
   7    34 image     159   159  icc     3   8  jpx    no        95  0   201   201 6913B 9.1%
   7    35 image     203   192  icc     3   8  jpx    no        97  0   200   201 7229B 6.2%
   7    36 image     195   155  icc     3   8  jpx    no       101  0   200   201 10.7K  12%
   7    37 smask     195   155  gray    1   8  jpx    no       101  0   200   201 3960B  13%
   8    38 image     204   125  icc     3   8  jpx    no       106  0   201   200 6301B 8.2%
   8    39 image     210   127  icc     3   8  jpx    no       110  0   200   201 6869B 8.6%
   8    40 smask     210   127  gray    1   8  jpx    no       110  0   200   201 4710B  18%
   8    41 image     174   176  icc     3   8  jpx    no       114  0   200   200 7868B 8.6%
   8    42 smask     174   176  gray    1   8  jpx    no       114  0   200   200 4308B  14%
   8    43 image     208   216  icc     3   8  jpx    no       116  0   200   200 7285B 5.4%
   8    44 image     177   221  icc     3   8  jpx    no       118  0   201   200 7242B 6.2%
   8    45 image     177   224  icc     3   8  jpx    no       120  0   201   200 7400B 6.2%
   8    46 image     159   217  icc     3   8  jpx    no       122  0   200   200 7247B 7.0%
   9    47 image     221   157  icc     3   8  jpx    no       127  0   200   201 7187B 6.9%
   9    48 image     214   150  icc     3   8  jpx    no       129  0   200   200 7207B 7.5%
   9    49 image     182   153  icc     3   8  jpx    no       133  0   200   201 8406B  10%
   9    50 smask     182   153  gray    1   8  jpx    no       133  0   200   201 4163B  15%
   9    51 image     178   153  icc     3   8  jpx    no       137  0   200   201 8647B  11%
   9    52 smask     178   153  gray    1   8  jpx    no       137  0   200   201 4195B  15%
   9    53 image     193   149  icc     3   8  jpx    no       141  0   200   200 7778B 9.0%
   9    54 smask     193   149  gray    1   8  jpx    no       141  0   200   200 4314B  15%
   9    55 image     199   152  icc     3   8  jpx    no       143  0   201   200 6871B 7.6%
   9    56 smask     199   152  gray    1   8  jpx    no       143  0   201   200 4394B  15%
   9    57 image     195   148  icc     3   8  jpx    no       145  0   201   201 8259B 9.5%
   9    58 image     205   156  icc     3   8  jpx    no       147  0   201   201 7874B 8.2%
   9    59 image     223   164  icc     3   8  jpx    no       149  0   201   201 6986B 6.4%
   9    60 image     210   171  icc     3   8  jpx    no       151  0   201   201 7402B 6.9%
  10    61 image     199   163  icc     3   8  jpx    no       162  0   200   201 8342B 8.6%
  10    62 image     219   140  icc     3   8  jpx    no       164  0   201   201 6862B 7.5%
  10    63 image     206   145  icc     3   8  jpx    no       166  0   201   201 6585B 7.3%
  10    64 image     212   152  icc     3   8  jpx    no       168  0   201   200 6684B 6.9%
  10    65 smask     212   152  gray    1   8  jpx    no       168  0   201   200 4474B  14%
  10    66 image     212   152  icc     3   8  jpx    no       170  0   201   200 6471B 6.7%
  10    67 image     214   159  icc     3   8  jpx    no       172  0   200   200 7301B 7.2%
  10    68 image     215   149  icc     3   8  jpx    no       176  0   200   200 7369B 7.7%
  10    69 smask     215   149  gray    1   8  jpx    no       176  0   200   200 4531B  14%
  10    70 image     215   159  icc     3   8  jpx    no       178  0   200   200 8113B 7.9%
  10    71 image     209   148  icc     3   8  jpx    no       180  0   201   201 6924B 7.5%
  10    72 image     206   153  icc     3   8  jpx    no       182  0   201   200 6972B 7.4%
  11    73 image     211   149  icc     3   8  jpx    no       187  0   201   200 7101B 7.5%
  11    74 image     206   147  icc     3   8  jpx    no       189  0   201   200 7298B 8.0%
  11    75 image     211   149  icc     3   8  jpx    no       191  0   201   200 6667B 7.1%
  11    76 image     185   156  icc     3   8  jpx    no       193  0   200   200 7496B 8.7%
  11    77 image     195   171  icc     3   8  jpx    no       195  0   200   201 7819B 7.8%
  11    78 image     195   171  icc     3   8  jpx    no       195  0   200   201 7819B 7.8%
  11    79 image     222   170  icc     3   8  jpx    no       197  0   201   200 7080B 6.3%
  11    80 image     209   162  icc     3   8  jpx    no       199  0   200   201 7335B 7.2%
  11    81 image     212   152  icc     3   8  jpx    no       201  0   200   200 7074B 7.3%
  11    82 image     219   158  icc     3   8  jpx    no       203  0   200   200 7085B 6.8%
  12    83 image     213   150  icc     3   8  jpx    no       214  0   200   201 7964B 8.3%
  12    84 smask     213   150  gray    1   8  jpx    no       214  0   200   201  318B 1.0%
  12    85 image     212   151  icc     3   8  jpx    no       216  0   200   200 6542B 6.8%
  12    86 image     206   159  icc     3   8  jpx    no       218  0   201   200 7462B 7.6%
  12    87 image     195   150  index   1   8  image  no       220  0   201   201 10.0K  35%
  12    88 image     194   164  index   1   8  image  no       222  0   200   200 7168B  23%
  12    89 image     205   151  icc     3   8  jpx    no       224  0   201   201 7414B 8.0%
  12    90 image     199   151  index   1   8  image  no       226  0   201   200 10.1K  34%
  12    91 image     181   154  index   1   8  image  no       228  0   201   201 7204B  26%
  12    92 image     222   155  icc     3   8  jpx    no       230  0   201   201 7529B 7.3%
  12    93 image     198   151  icc     3   8  jpx    no       232  0   201   200 7359B 8.2%
  13    94 image     209   163  icc     3   8  jpx    no       237  0   200   201 7279B 7.1%
  13    95 image     182   223  icc     3   8  jpx    no       239  0   201   200 7769B 6.4%
  13    96 image      99   251  icc     3   8  jpx    no       243  0   202   200 8945B  12%
  13    97 smask      99   251  gray    1   8  jpx    no       243  0   202   200 6126B  25%
